open_coffer	0
normal_of_possible_chambers	1
lock_non-euclidean_box	2
pillow	3
bread	4
onion	5
box	6
rectangular_chest	7
lock_type_d_box	8
cubicle	9
type_d_box_in_room	10
stand	11
your_excitement	12
workshop	13
keycard	14
keyboard_on_armchair	15
east	16
cauliflower	17
rack	18
lampshade	19
usual	20
non-euclidean_keycard	21
going	22
formless_box	23
loaf_of_bread	24
unlock_box	25
unblocked	26
here_kitchenette	27
normal	28
keyboard	29
opened_type_d_box_in_room	30
empty	31
broom_on_saucepan	32
shelf	33
unguarded_exit	34
open_gate	35
cellar	36
salad	37
salad_on_saucepan	38
formless_latchkey	39
chair	40
you	41
exit	42
chest	43
restroom	44
already_everything_though	45
cabinet	46
blender_on_saucepan	47
insect	48
fly_larva	49
insert_loaf	50
open_box	51
insert_onion	52
worm	53
study	54
type_d_box	55
non-euclidean_box	56
already_here_everything	57
great	58
going_south	59
garage	60
everything	61
going_north	62
board	63
office	64
closed_type_d_box	65
shower	66
lock_box	67
floor	68
open_cabinet	69
textworld	70
cookery	71
unblocked_exit	72
already_everything	73
gleam_over_in_corner	74
lock_formless_box	75
silent_workshop	76
thing	77
open_suitcase	78
open_non-euclidean_box	79
west	80
yourself	81
opened_type_d_box	82
saucepan	83
open_freezer	84
suitcase	85
button	86
examine	87
room	88
drop	89
pan	90
blender	91
your_shoe	92
closed_type_d_box_in_room	93
actions	94
steam_room	95
everything_though	96
closet	97
stock_what_'s	98
unlock_formless_box	99
typical	100
place	101
loaf	102
coffer	103
studio	104
armchair	105
latchkey	106
kitchenette	107
normal_room	108
here_everything	109
type_d_latchkey	110
larva	111
laundry_place	112
sauna	113
secret_button	114
gate	115
scullery	116
now_workshop	117
broom	118
eat	119
insect_on_saucepan	120
safe	121
sponge	122
now_study	123
we	124
over_corner	125
gleam	126
it	127
text_adventure	128
here_laundry_place	129
unguarded	130
already_here_everything_though	131
open_formless_box	132
here_everything_though	133
standard	134
unlock_non-euclidean_box	135
parlor	136
freezer	137
stock_what_'s_here	138
unlock_type_d_box	139
cucumber	140
platter	141
inventory	142
locked_type_d_box_in_room	143
most_normal_of_possible_chambers	144
bench	145
unlock_rectangular_chest	146
take	147
printer	148
laundromat	149
rectangular_passkey	150
someone	151
passkey	152
start	153
worm_on_saucepan	154
wall	155
locked_type_d_box	156
