look	0
better_go	1
're_in	2
see_sponge_on	3
take_broom_from	4
looks	5
find_in	6
is_with	7
can_make_out	8
see_worm_on	9
put_insect_on	10
put_keycard_on	11
put_type_d_latchkey_on	12
put_lampshade_on	13
put_salad_on	14
take_lampshade_in	15
see	16
find	17
take_salad_from	18
see_keycard_on	19
put_worm_in	20
been_everything_off	21
going	22
pressing	23
see_keyboard_on	24
loaf_of	25
already_been_here_everything_though_off	26
already_been_here_and_taken_everything_though_off	27
take_printer_from	28
came_to	29
go	30
see_in	31
can_see	32
reveal	33
take_cucumber_from	34
shown_up_in	35
put_blender_on	36
been_here_everything_though_off	37
better_just_go	38
've_shown_up_in	39
put_worm_on	40
decide	41
can_make_out_worm_on	42
already_been_everything_off	43
take_worm_from	44
can_make_out_lampshade_on	45
box_with	46
can_contain	47
should_try	48
inadvertently_pressing	49
see_lampshade_on	50
see_cucumber_on	51
has	52
see_insect_on	53
appears	54
take_fly_larva_from	55
take_loaf_from	56
see_latchkey_on	57
put_passkey_in	58
take_insect_from	59
just_shown_up_in	60
have_entered	61
entered	62
put_sponge_on	63
put_passkey_on	64
see_pillow_on	65
take_passkey_from	66
been_here_and_taken_everything_though_off	67
've_entered	68
will_go	69
been_here_and_taken_everything_off	70
into_fly_is	71
take_type_d_latchkey_from	72
see_printer_on	73
lean_against	74
can_make_out_blender_on	75
can_barely_contain	76
notice	77
make_out_insect_on	78
is_in	79
take_pillow_from	80
've_sauntered_into	81
been_everything_though_off	82
contains	83
can_make_out_latchkey_on	84
examine	85
drop	86
been	87
take_latchkey_from	88
take_lampshade_from	89
see_onion_on	90
hits	91
make_out_worm_on	92
arrive_in	93
put_pillow_on	94
see_type_d_latchkey_on	95
is	96
can_make_out_keycard_on	97
've_just_sauntered_into	98
take_onion_from	99
take_keycard_from	100
make_out_lampshade_on	101
're_calling	102
can_make_out_sponge_on	103
eat	104
put	105
put_loaf_on	106
already_been_here_everything_off	107
already_been_here_and_taken_everything_off	108
put_broom_on	109
guess	110
put_latchkey_on	111
decide_in	112
take_keyboard_from	113
were_in	114
see_blender_on	115
can_make_out_fly_larva_on	116
can_make_out_printer_on	117
see_passkey_on	118
tie	119
need	120
already_been_everything_though_off	121
make_out	122
see_loaf_on	123
is_on	124
just_go	125
take	126
take_blender_from	127
take_sponge_from	128
see_broom_on	129
been_here_everything_off	130
are_in	131
've_just_shown_up_in	132
see_fly_larva_on	133
